iter	Passed	Remaining
0	194	194277
1	195	97647
2	196	65286
3	197	49088
4	197	39377
5	198	32901
6	199	28275
7	201	25041
8	202	22344
9	203	20159
10	204	18373
11	205	16891
12	205	15634
13	206	14552
14	207	13614
15	207	12790
16	208	12065
17	209	11420
18	210	10843
19	210	10323
20	211	9854
21	212	9427
22	212	9038
23	213	8679
24	216	8435
25	217	8135
26	217	7851
27	218	7586
28	219	7343
29	220	7115
30	220	6901
31	221	6699
32	222	6509
33	222	6334
34	223	6172
35	224	6014
36	225	5869
37	226	5728
38	227	5594
39	227	5467
40	231	5408
41	232	5297
42	233	5188
43	233	5081
44	234	4977
45	235	4878
46	235	4783
47	236	4692
48	237	4605
49	237	4520
50	238	4440
51	239	4362
52	240	4288
53	240	4216
54	241	4147
55	242	4080
56	244	4047
57	246	4010
58	247	3951
59	248	3899
60	249	3844
61	250	3788
62	251	3734
63	251	3681
64	252	3631
65	255	3610
66	256	3567
67	256	3521
68	257	3476
69	258	3432
70	259	3390
71	259	3348
72	260	3308
73	261	3268
74	261	3230
75	262	3193
76	263	3158
77	264	3124
78	265	3089
79	265	3056
80	270	3066
81	271	3038
82	271	3003
83	272	2973
84	273	2943
85	274	2915
86	275	2887
87	275	2859
88	276	2832
89	277	2805
90	278	2778
91	278	2752
92	279	2726
93	280	2701
94	283	2701
95	284	2678
96	285	2655
97	285	2631
98	286	2608
99	287	2586
100	288	2564
101	288	2542
102	289	2521
103	290	2500
104	290	2479
105	291	2458
106	292	2438
107	292	2419
108	293	2400
109	294	2381
110	295	2365
111	296	2353
112	297	2335
113	298	2318
114	298	2300
115	299	2283
116	300	2266
117	300	2249
118	301	2233
119	302	2217
120	303	2201
121	303	2184
122	304	2169
123	305	2154
124	305	2139
125	306	2125
126	306	2109
127	308	2098
128	317	2146
129	319	2136
130	320	2125
131	321	2113
132	322	2103
133	323	2090
134	329	2109
135	330	2099
136	332	2091
137	333	2080
138	334	2069
139	335	2058
140	335	2046
141	336	2034
142	338	2026
143	343	2039
144	344	2029
145	345	2018
146	345	2006
147	346	1994
148	347	1985
149	348	1974
150	349	1965
151	350	1956
152	351	1946
153	352	1937
154	353	1927
155	355	1920
156	356	1912
157	356	1901
158	357	1891
159	358	1881
160	358	1869
161	359	1859
162	360	1849
163	361	1840
164	361	1830
165	362	1821
166	363	1813
167	364	1805
168	368	1813
169	369	1805
170	370	1796
171	371	1788
172	372	1779
173	373	1770
174	374	1764
175	375	1756
176	375	1747
177	376	1739
178	377	1730
179	378	1722
180	378	1714
181	379	1707
182	381	1700
183	381	1693
184	382	1685
185	383	1677
186	383	1669
187	384	1661
188	385	1653
189	386	1647
190	387	1640
191	388	1633
192	388	1626
193	389	1619
194	390	1612
195	391	1606
196	395	1613
197	397	1609
198	398	1602
199	398	1595
200	399	1589
201	400	1583
202	401	1577
203	402	1570
204	403	1563
205	404	1557
206	404	1550
207	405	1544
208	406	1537
209	410	1543
210	411	1539
211	412	1533
212	413	1527
213	414	1521
214	415	1515
215	415	1509
216	416	1503
217	417	1497
218	418	1490
219	418	1485
220	419	1478
221	420	1472
222	420	1466
223	424	1469
224	425	1467
225	426	1462
226	428	1459
227	429	1454
228	430	1448
229	431	1443
230	431	1437
231	432	1431
232	433	1426
233	433	1420
234	434	1415
235	435	1410
236	438	1412
237	440	1410
238	441	1405
239	442	1401
240	443	1396
241	444	1390
242	444	1385
243	445	1380
244	446	1375
245	447	1370
246	447	1365
247	448	1360
248	449	1355
249	450	1350
250	450	1345
251	454	1349
252	455	1346
253	456	1341
254	457	1337
255	458	1332
256	459	1328
257	460	1323
258	461	1319
259	461	1314
260	462	1310
261	463	1305
262	464	1300
263	464	1295
264	465	1291
265	466	1288
266	467	1284
267	468	1280
268	469	1276
269	470	1272
270	471	1267
271	471	1263
272	472	1258
273	473	1254
274	474	1250
275	475	1246
276	476	1242
277	476	1238
278	477	1234
279	481	1237
280	483	1236
281	484	1233
282	485	1229
283	487	1227
284	487	1224
285	488	1219
286	489	1215
287	490	1211
288	491	1208
289	492	1204
290	492	1200
291	497	1206
292	498	1203
293	499	1198
294	500	1195
295	500	1191
296	501	1187
297	502	1183
298	503	1180
299	504	1176
300	504	1172
301	505	1168
302	506	1165
303	507	1161
304	510	1163
305	512	1162
306	599	1354
307	601	1351
308	604	1351
309	606	1349
310	611	1354
311	612	1351
312	615	1351
313	617	1347
314	618	1344
315	620	1343
316	626	1349
317	628	1347
318	629	1344
319	632	1344
320	634	1341
321	635	1337
322	641	1344
323	642	1341
324	644	1338
325	655	1354
326	657	1352
327	658	1348
328	659	1344
329	660	1340
330	661	1337
331	662	1333
332	663	1329
333	666	1329
334	668	1327
335	670	1325
336	672	1323
337	674	1320
338	682	1329
339	686	1332
340	687	1328
341	688	1325
342	690	1321
343	694	1325
344	696	1322
345	698	1319
346	699	1316
347	701	1313
348	703	1311
349	704	1308
350	710	1314
351	713	1313
352	715	1310
353	733	1337
354	735	1335
355	742	1342
356	743	1339
357	744	1335
358	748	1336
359	749	1333
360	751	1329
361	752	1325
362	756	1327
363	758	1324
364	759	1320
365	760	1317
366	761	1313
367	762	1309
368	763	1305
369	764	1302
370	766	1298
371	767	1295
372	770	1295
373	772	1292
374	773	1289
375	774	1285
376	775	1281
377	776	1277
378	777	1274
379	778	1270
380	779	1266
381	780	1262
382	782	1260
383	788	1264
384	789	1260
385	790	1256
386	790	1252
387	791	1249
388	792	1245
389	793	1241
390	794	1237
391	796	1236
392	802	1240
393	805	1238
394	806	1235
395	807	1231
396	808	1228
397	809	1224
398	810	1221
399	811	1217
400	812	1213
401	818	1217
402	820	1215
403	827	1221
404	833	1224
405	834	1221
406	836	1218
407	837	1214
408	838	1211
409	839	1207
410	840	1204
411	841	1201
412	842	1197
413	843	1194
414	845	1192
415	846	1188
416	847	1185
417	849	1182
418	850	1179
419	851	1176
420	852	1172
421	854	1169
422	855	1166
423	859	1167
424	860	1164
425	865	1166
426	866	1162
427	867	1159
428	868	1155
429	874	1159
430	875	1156
431	876	1152
432	877	1149
433	878	1145
434	878	1141
435	879	1137
436	880	1134
437	881	1130
438	882	1127
439	882	1123
440	883	1120
441	884	1116
442	885	1113
443	889	1113
444	893	1114
445	894	1111
446	895	1107
447	896	1104
448	897	1101
449	898	1097
450	898	1094
451	899	1090
452	900	1087
453	901	1083
454	903	1082
455	904	1079
456	905	1075
457	906	1072
458	906	1068
459	907	1065
460	908	1062
461	910	1059
462	911	1056
463	912	1053
464	913	1051
465	918	1052
466	920	1050
467	921	1047
468	922	1044
469	923	1041
470	924	1038
471	925	1035
472	927	1033
473	928	1030
474	933	1031
475	934	1028
476	934	1025
477	935	1022
478	937	1019
479	939	1017
480	939	1014
481	940	1011
482	941	1008
483	942	1005
484	946	1005
485	947	1002
486	948	999
487	949	995
488	950	992
489	950	989
490	951	986
491	952	983
492	953	980
493	954	977
494	954	974
495	955	970
496	956	967
497	957	964
498	957	961
499	961	961
500	962	959
501	963	956
502	964	953
503	966	951
504	967	948
505	968	945
506	969	942
507	970	939
508	971	936
509	971	933
510	972	930
511	976	930
512	978	928
513	979	926
514	980	923
515	981	920
516	982	917
517	983	915
518	984	912
519	985	909
520	986	906
521	987	903
522	991	904
523	992	901
524	993	899
525	994	896
526	996	893
527	997	891
528	998	888
529	999	886
530	1000	883
531	1001	880
532	1002	878
533	1009	880
534	1010	878
535	1011	875
536	1013	873
537	1014	870
538	1015	868
539	1016	865
540	1017	863
541	1022	864
542	1023	861
543	1024	858
544	1025	856
545	1026	853
546	1027	851
547	1028	848
548	1029	845
549	1030	843
550	1031	840
551	1032	838
552	1036	837
553	1037	835
554	1038	832
555	1039	830
556	1040	827
557	1041	824
558	1042	822
559	1042	819
560	1043	816
561	1044	814
562	1045	811
563	1046	808
564	1046	806
565	1052	807
566	1053	804
567	1054	801
568	1055	799
569	1056	796
570	1057	794
571	1058	791
572	1059	789
573	1060	786
574	1061	784
575	1061	781
576	1066	782
577	1068	780
578	1069	777
579	1071	775
580	1072	773
581	1073	770
582	1074	768
583	1075	766
584	1076	763
585	1081	764
586	1082	761
587	1083	759
588	1085	757
589	1086	754
590	1087	752
591	1088	749
592	1089	747
593	1090	745
594	1091	742
595	1095	742
596	1096	740
597	1098	738
598	1099	736
599	1101	734
600	1102	732
601	1104	730
602	1106	728
603	1111	728
604	1113	727
605	1114	724
606	1115	722
607	1117	720
608	1118	718
609	1119	715
610	1120	713
611	1121	711
612	1125	710
613	1127	708
614	1128	706
615	1129	704
616	1130	701
617	1131	699
618	1132	697
619	1133	694
620	1134	692
621	1136	690
622	1140	690
623	1141	687
624	1142	685
625	1143	683
626	1144	680
627	1145	678
628	1145	675
629	1146	673
630	1147	670
631	1147	668
632	1148	665
633	1149	663
634	1150	661
635	1150	658
636	1151	656
637	1154	655
638	1155	652
639	1156	650
640	1157	648
641	1158	645
642	1159	643
643	1160	641
644	1160	638
645	1161	636
646	1162	634
647	1163	631
648	1164	629
649	1165	627
650	1165	625
651	1170	624
652	1172	622
653	1173	620
654	1175	619
655	1176	616
656	1177	614
657	1178	612
658	1186	614
659	1188	612
660	1189	609
661	1190	607
662	1191	605
663	1192	603
664	1193	601
665	1194	598
666	1194	596
667	1195	594
668	1200	594
669	1202	592
670	1204	590
671	1205	588
672	1206	586
673	1209	584
674	1210	582
675	1217	583
676	1218	581
677	1219	579
678	1221	577
679	1222	575
680	1223	573
681	1224	571
682	1229	570
683	1234	570
684	1236	568
685	1238	566
686	1239	564
687	1247	565
688	1248	563
689	1250	561
690	1251	559
691	1252	557
692	1254	555
693	1263	557
694	1265	555
695	1266	553
696	1267	551
697	1270	549
698	1276	549
699	1278	547
700	1279	545
701	1280	543
702	1281	541
703	1282	539
704	1283	537
705	1285	535
706	1286	532
707	1293	533
708	1295	531
709	1296	529
710	1297	527
711	1299	525
712	1300	523
713	1306	523
714	1308	521
715	1309	519
716	1310	517
717	1311	515
718	1313	513
719	1314	511
720	1322	511
721	1323	509
722	1325	507
723	1328	506
724	1329	504
725	1330	502
726	1331	500
727	1336	499
728	1337	497
729	1338	495
730	1340	493
731	1341	491
732	1342	489
733	1343	486
734	1344	484
735	1345	482
736	1354	483
737	1355	481
738	1357	479
739	1359	477
740	1360	475
741	1361	473
742	1368	473
743	1370	471
744	1372	469
745	1375	468
746	1384	468
747	1388	467
748	1389	465
749	1390	463
750	1391	461
751	1392	459
752	1395	457
753	1395	455
754	1397	453
755	1398	451
756	1398	449
757	1399	446
758	1400	444
759	1401	442
760	1401	440
761	1402	438
762	1403	435
763	1404	433
764	1404	431
765	1405	429
766	1406	427
767	1406	425
768	1409	423
769	1410	421
770	1411	419
771	1412	417
772	1412	414
773	1413	412
774	1415	410
775	1416	408
776	1419	407
777	1420	405
778	1420	403
779	1421	401
780	1425	399
781	1427	397
782	1428	395
783	1429	393
784	1429	391
785	1430	389
786	1431	387
787	1432	385
788	1433	383
789	1433	381
790	1434	379
791	1435	377
792	1440	375
793	1442	374
794	1443	372
795	1443	370
796	1444	367
797	1445	365
798	1446	363
799	1447	361
800	1447	359
801	1448	357
802	1449	355
803	1450	353
804	1451	351
805	1456	350
806	1457	348
807	1458	346
808	1459	344
809	1460	342
810	1461	340
811	1462	338
812	1463	336
813	1463	334
814	1464	332
815	1465	330
816	1470	329
817	1471	327
818	1472	325
819	1472	323
820	1473	321
821	1474	319
822	1475	317
823	1476	315
824	1477	313
825	1477	311
826	1478	309
827	1479	307
828	1480	305
829	1484	304
830	1485	302
831	1487	300
832	1487	298
833	1488	296
834	1489	294
835	1490	292
836	1491	290
837	1492	288
838	1493	286
839	1494	284
840	1495	282
841	1498	281
842	1499	279
843	1500	277
844	1501	275
845	1502	273
846	1503	271
847	1504	269
848	1504	267
849	1506	265
850	1507	263
851	1507	261
852	1508	260
853	1509	258
854	1514	256
855	1515	254
856	1515	252
857	1516	251
858	1517	249
859	1518	247
860	1519	245
861	1520	243
862	1521	241
863	1522	239
864	1523	237
865	1524	235
866	1528	234
867	1529	232
868	1530	230
869	1531	228
870	1532	226
871	1533	225
872	1534	223
873	1535	221
874	1536	219
875	1536	217
876	1538	215
877	1539	213
878	1542	212
879	1543	210
880	1545	208
881	1546	206
882	1547	205
883	1548	203
884	1549	201
885	1550	199
886	1551	197
887	1552	195
888	1553	193
889	1553	192
890	1557	190
891	1558	188
892	1559	186
893	1560	185
894	1560	183
